3,2,9,218,U,1,47
4,2,9,218,U,1,25
5,2,9,218,S,1,9,0,1
6,2,9,218,S,1,14,1,1
7,2,9,218,S,1,4,0,0
8,2,9,218,U,1,24
9,2,9,218,U,1,28
10,2,9,218,U,1,25
11,2,9,218,S,1,4,0,0
12,2,9,218,U,1,38
13,4,18,236,U,1,112
14,4,18,236,U,1,141
15,4,18,236,U,1,145
16,4,18,236,U,1,108
17,4,18,236,U,1,110
18,4,18,236,U,1,120
19,4,18,236,U,1,147
20,4,18,236,U,1,115
21,4,18,236,U,1,90
22,4,18,236,U,1,118
23,6,20,240,U,1,527
24,6,20,240,U,1,405
25,6,20,240,U,1,476
26,6,20,240,U,1,406
27,6,20,240,U,1,347
28,6,20,240,U,1,576
29,6,20,240,U,1,507
30,6,20,240,U,1,631
31,6,20,240,U,1,379
32,6,20,240,U,1,501
33,8,30,260,U,1,2026
34,8,30,260,U,1,2074
35,8,30,260,U,1,4439
36,8,30,260,U,1,1976
37,8,30,260,U,1,1783
38,8,30,260,U,1,2243
39,8,30,260,U,1,1855
40,8,30,260,U,1,2269
41,8,30,260,U,1,2356
42,8,30,260,U,1,2337
43,10,32,264,U,1,10730
44,10,32,264,U,1,7529
45,10,32,264,U,1,7599
46,10,32,264,S,1,2859,0,1,1,0,1,1,1,0,0,1
47,10,32,264,U,1,7701
48,10,32,264,U,1,8997
49,10,32,264,U,1,7759
50,10,32,264,U,1,8648
51,10,32,264,U,1,8267
52,10,32,264,U,1,7017
53,12,33,266,S,1,13529,0,1,0,1,0,1,1,0,1,0,1,1
54,12,33,266,U,1,31288
55,12,33,266,U,1,46938
56,12,33,266,U,1,39519
57,12,33,266,U,1,31016
58,12,33,266,U,1,29569
59,12,33,266,U,1,32239
60,12,33,266,S,1,10507,0,0,0,0,0,1,0,0,1,0,0,1
61,12,33,266,U,1,39288
62,12,33,266,U,1,30053
63,14,38,276,U,1,125529
64,14,38,276,U,1,132755
65,14,38,276,U,1,144514
66,14,38,276,U,1,122106
67,14,38,276,U,1,142788
68,14,38,276,U,1,165744
69,14,38,276,S,1,14965,0,0,1,1,0,1,1,0,1,1,1,1,0,0
70,14,38,276,U,1,138248
71,14,38,276,U,1,137363
72,14,38,276,U,1,139409
73,16,40,280,U,1,460070
74,16,40,280,U,1,427477
75,16,40,280,U,1,660912
76,16,40,280,U,1,500380
77,16,40,280,S,1,184302,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1
78,16,40,280,S,1,111342,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
79,16,40,280,S,1,30450,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0
80,16,40,280,U,1,1114179
81,16,40,280,U,1,855449
82,16,40,280,U,1,998833
83,18,40,280,U,1,2035773
84,18,40,280,S,1,31225,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0
85,18,40,280,S,1,59027,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
86,18,40,280,U,1,2288490
87,18,40,280,U,1,2018066
88,18,40,280,U,1,2012418
89,18,40,280,U,1,2657653
90,18,40,280,U,1,2750545
91,18,40,280,U,1,1832900
92,18,40,280,S,1,271836,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0
93,20,42,284,U,1,10695275
94,20,42,284,U,1,8666079
95,20,42,284,U,1,8891662
96,20,42,284,U,1,9513193
97,20,42,284,U,1,9552216
98,20,42,284,U,1,9966314
99,20,42,284,U,1,9021367
100,20,42,284,U,1,9224617
101,20,42,284,U,1,8221159
102,20,42,284,U,1,9455568
103,22,42,284,U,1,34687796
1,0,0,1,0,1,0,0,1,0,1,1,0
102,22,42,284,U,1,34512956
0,0,0,1,0,0,0,1,1
105,22,42,284,S,1,21229873,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
106,22,42,284,U,1,34596887
107,22,42,284,S,1,8797007,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1
108,22,42,284,S,1,4666180,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
109,22,42,284,S,1,2212125,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
110,22,42,284,U,1,35783361
111,22,42,284,S,1,1396404,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
112,22,42,284,U,1,38329000
113,24,20,240,S,1,3163046,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
114,24,20,240,S,1,43969,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
115,24,20,240,S,1,39035,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
116,24,20,240,S,1,16328342,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
117,24,20,240,S,1,752273,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
118,24,20,240,S,1,3648,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,24,20,240,S,1,2427767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,24,20,240,S,1,107190,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
121,24,20,240,S,1,33894,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
122,24,20,240,S,1,4955,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnffile,TheBoss,120,30,90,120,120
